iter	Logloss
0	0.6156816647
1	0.5630170329
2	0.535291606
3	0.490301312
4	0.4690195678
5	0.4372654862
6	0.4094863786
7	0.3857581664
8	0.3623868923
9	0.3422632931
10	0.3233693093
11	0.3076447332
12	0.2953134278
13	0.284237367
14	0.2702939424
15	0.2593325538
16	0.2549094453
17	0.2434126184
18	0.2359812656
19	0.2270590223
20	0.2166920166
21	0.2155211119
22	0.2070242778
23	0.203040814
24	0.1957710445
25	0.1947460439
26	0.1938090626
27	0.1873247325
28	0.1806266429
29	0.1741263409
30	0.169301475
31	0.1659506981
32	0.159083755
33	0.1545053517
34	0.1537407809
35	0.1483992498
36	0.1470987442
37	0.143281288
38	0.138985003
39	0.1338390197
40	0.1294585242
41	0.1255143946
42	0.1210304761
43	0.1178935744
44	0.1160805542
45	0.1130985804
46	0.1101236175
47	0.1092154752
48	0.1068995781
49	0.1041681406
