iter	Passed	Remaining
0	0	554
1	1	471
2	1	440
3	2	422
4	2	422
5	3	433
6	3	425
7	4	426
8	4	428
9	5	427
10	5	425
11	6	420
12	6	415
13	7	412
14	7	412
15	8	410
16	9	416
17	9	414
18	10	414
19	10	416
20	11	413
21	11	410
22	12	407
23	12	405
24	12	402
25	13	400
26	14	401
27	14	401
28	15	399
29	15	401
30	16	399
31	16	397
32	17	396
33	17	397
34	18	397
35	18	396
36	19	396
37	19	399
38	20	400
39	21	399
40	21	398
41	22	397
42	22	397
43	23	396
44	23	395
45	24	393
46	24	392
47	24	391
48	25	391
49	26	390
50	26	392
51	27	392
52	27	391
53	28	390
54	28	389
55	29	389
56	29	389
57	30	390
58	31	390
59	31	391
60	32	395
61	33	394
62	33	394
63	34	393
64	34	392
65	35	391
66	35	389
67	36	388
68	36	390
69	37	392
70	38	391
71	38	390
72	39	389
73	39	388
74	40	387
75	40	386
76	40	384
77	41	383
78	42	383
79	42	382
80	43	383
81	43	382
82	44	384
83	45	386
84	46	387
85	46	387
86	47	388
87	48	388
88	48	387
89	49	388
90	50	390
91	50	390
92	51	389
93	51	388
94	52	387
95	52	386
96	53	385
97	53	385
98	54	384
99	54	384
100	55	383
101	55	382
102	56	382
103	56	381
104	57	379
105	57	379
106	58	378
107	58	377
108	59	376
109	60	376
110	60	376
111	61	375
112	61	374
113	62	373
114	62	372
115	63	371
116	63	370
117	64	370
118	64	369
119	65	368
120	65	367
121	66	367
122	66	366
123	67	365
124	67	365
125	68	364
126	68	364
127	69	363
128	69	362
129	70	362
130	70	362
131	71	361
132	71	360
133	72	360
134	72	359
135	73	358
136	73	357
137	74	356
138	74	355
139	75	355
140	76	355
141	76	355
142	77	354
143	77	354
144	78	353
145	78	352
146	79	351
147	79	350
148	80	350
149	80	349
150	81	348
151	81	348
152	82	347
153	82	347
154	83	346
155	83	345
156	84	345
157	84	344
158	85	343
159	85	342
160	86	342
161	86	341
162	87	341
163	87	340
164	88	340
165	89	340
166	89	339
167	90	338
168	90	337
169	90	337
170	91	336
171	91	335
172	92	335
173	93	335
174	93	334
175	94	334
176	94	333
177	95	332
178	95	331
179	96	331
180	96	330
181	97	330
182	97	329
183	98	329
184	98	328
185	99	328
186	99	327
187	100	326
188	100	326
189	101	325
190	101	325
191	102	324
192	102	323
193	103	323
194	103	322
195	104	322
196	105	321
197	105	321
198	106	320
199	106	319
200	107	319
201	107	318
202	108	318
203	108	317
204	109	316
205	109	316
206	110	316
207	110	315
208	111	315
209	112	314
210	112	314
211	112	313
212	113	312
213	113	311
214	114	311
215	114	310
216	115	310
217	115	309
218	116	308
219	116	308
220	117	307
221	117	307
222	118	306
223	118	305
224	119	305
225	119	304
226	120	303
227	120	303
228	121	302
229	121	302
230	122	301
231	122	301
232	123	300
233	124	300
234	124	299
235	124	298
236	125	298
237	125	297
238	126	297
239	127	296
240	127	296
241	128	296
242	129	295
243	129	295
244	130	294
245	130	294
246	131	293
247	131	292
248	132	292
249	132	291
250	133	291
251	133	290
252	134	289
253	134	289
254	135	288
255	135	288
256	136	287
257	136	287
258	137	286
259	137	286
260	138	285
261	138	285
262	139	285
263	140	285
264	141	285
265	141	284
266	142	284
267	142	283
268	143	282
269	143	282
270	144	281
271	144	281
272	145	280
273	145	279
274	146	279
275	146	278
276	147	277
277	147	277
278	148	276
279	148	276
280	149	275
281	149	275
282	150	274
283	150	274
284	151	273
285	151	272
286	152	272
287	152	271
288	153	271
289	154	271
290	154	270
291	155	270
292	156	270
293	156	269
294	157	268
295	157	268
296	158	267
297	158	267
298	159	266
299	159	266
300	160	265
301	160	265
302	161	264
303	161	264
304	162	263
305	163	263
306	163	262
307	163	261
308	164	261
309	164	260
310	165	260
311	166	259
312	166	259
313	167	258
314	167	258
315	168	257
316	168	257
317	169	256
318	169	255
319	170	255
320	170	254
321	171	254
322	171	253
323	172	253
324	173	253
325	173	252
326	174	252
327	174	251
328	175	251
329	175	250
330	176	250
331	177	249
332	177	249
333	178	248
334	179	248
335	179	248
336	180	247
337	180	247
338	181	246
339	181	246
340	182	245
341	182	244
342	183	244
343	183	243
344	184	243
345	184	242
346	185	242
347	185	241
348	186	241
349	187	240
350	187	239
351	188	239
352	188	238
353	189	238
354	189	237
355	190	237
356	190	236
357	191	236
358	191	235
359	192	235
360	192	234
